municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
161,Ejerlejlighed,"Christiansvej 15, 1. tv",2600, Glostrup,450570,1994-12-01,Alm. Salg,69,6530,3,1947,
161,Villa,Ejby Mosevej 145,2600, Glostrup,1033410,1994-12-01,Alm. Salg,200,5167,7,1947,
161,Ejerlejlighed,"Gyvelvej 16, 1. tv",2600, Glostrup,347800,1994-11-26,Alm. Salg,77,4517,3,1961,
161,Villa,Søndervangsvej 28B,2600, Glostrup,1085000,1994-11-25,Alm. Salg,142,7641,5,1980,
161,Villa,Edithsvej 10,2600, Glostrup,582400,1994-11-20,Alm. Salg,146,3989,4,1931,
161,Villa,Edithsvej 7,2600, Glostrup,246541,1994-11-17,Alm. Salg,136,1813,5,1996,
161,Villa,Tulipanvej 2,2600, Glostrup,745325,1994-11-15,Alm. Salg,161,4629,4,1960,
161,Villa,Solvangsvej 39,2600, Glostrup,620000,1994-11-02,Alm. Salg,127,4882,6,1943,
161,Rækkehus,Hvissingeparken 13,2600, Glostrup,602730,1994-11-01,Alm. Salg,100,6027,3,1967,
161,Villa,Nørre Alle 8,2600, Glostrup,981906,1994-11-01,Alm. Salg,129,7612,6,1932,
161,Villa,Duevej 4,2600, Glostrup,1150204,1994-11-01,Alm. Salg,144,7988,6,1956,
161,Ejerlejlighed,"Christiansvej 11, 2. tv",2600, Glostrup,151000,1994-10-31,Auktion,57,2649,2,1947,
161,Ejerlejlighed,"Hovedvejen 174, 2. tv",2600, Glostrup,458000,1994-10-29,Alm. Salg,80,5725,4,1948,
161,Ejerlejlighed,"Østervej 27, st. tv",2600, Glostrup,435000,1994-10-26,Alm. Salg,80,5438,3,1959,
161,Villa,Ejbydalsvej 189,2600, Glostrup,925000,1994-10-23,Alm. Salg,153,6046,5,1977,
161,Ejerlejlighed,"Nordre Ringvej 3, 2. th",2600, Glostrup,380000,1994-10-22,Alm. Salg,66,5758,3,1939,
161,Villa,Sydvestvej 37,2600, Glostrup,988840,1994-10-19,Alm. Salg,179,5524,7,1933,
161,Villa,Langagervej 25,2600, Glostrup,990000,1994-10-19,Alm. Salg,197,5025,7,1952,
