muni_code,year,gini_index
183,2015,24.63
183,2016,25.07
183,2017,25.58
183,2018,25.3
183,2019,25.27
183,2020,25.28
183,2021,24.97
173,1992,27.02
173,1993,27.58
173,1994,27.01
173,1995,27.94
173,1996,27.39
173,1997,28.71
173,1998,28.21
173,1999,28.69
173,2000,30.07
173,2001,29.47
173,2002,28.55
173,2003,28.18
173,2004,29.15
173,2005,30.23
173,2006,32.63
173,2007,32.46
173,2008,31.58
173,2009,30.69
173,2010,32.73
173,2011,32.84
173,2012,32.7
173,2013,33.11
173,2014,35.97
173,2015,39.22
173,2016,35.96
173,2017,36.72
173,2018,36.61
173,2019,36.09
173,2020,36.14
173,2021,39.28
175,1992,18.83
175,1993,19.48
175,1994,19.36
175,1995,19.51
175,1996,19.95
175,1997,20.3
175,1998,20.57
175,1999,20.62
175,2000,20.71
175,2001,20.94
175,2002,20.51
175,2003,20.75
175,2004,21.4
175,2005,21.51
175,2006,21.91
175,2007,21.94
175,2008,22.87
175,2009,21.81
175,2010,23.22
175,2011,23.64
175,2012,23.77
175,2013,24.19
175,2014,24.58
175,2015,25.38
175,2016,25.55
175,2017,26.08
175,2018,25.81
175,2019,25.75
175,2020,26.27
175,2021,26.31
187,1992,18.55
187,1993,17.76
187,1994,18.0
187,1995,18.52
187,1996,19.0
187,1997,19.57
187,1998,19.77
187,1999,20.42
187,2000,20.13
187,2001,20.13
187,2002,19.85
187,2003,20.11
187,2004,19.78
187,2005,21.03
187,2006,21.29
187,2007,22.17
187,2008,22.5
187,2009,22.11
187,2010,23.46
187,2011,23.02
187,2012,23.51
187,2013,24.18
187,2014,25.54
187,2015,25.56
187,2016,24.64
187,2017,24.99
187,2018,25.25
187,2019,25.56
187,2020,25.37
187,2021,25.66
201,1992,20.58
201,1993,21.33
201,1994,20.49
201,1995,21.52
201,1996,22.0
201,1997,21.86
201,1998,22.61
201,1999,22.18
201,2000,23.11
201,2001,22.42
201,2002,23.7
201,2003,22.31
201,2004,22.7
201,2005,23.74
201,2006,24.11
201,2007,25.0
201,2008,24.5
201,2009,24.23
201,2010,25.56
201,2011,25.48
201,2012,25.32
201,2013,24.41
201,2014,24.71
201,2015,25.52
201,2016,25.38
201,2017,26.34
201,2018,25.5
201,2019,26.3
201,2020,25.68
201,2021,26.33
240,1992,18.29
240,1993,18.92
240,1994,18.31
240,1995,18.8
240,1996,18.92
240,1997,19.76
240,1998,19.64
240,1999,19.69
240,2000,20.02
240,2001,20.59
240,2002,19.64
240,2003,19.22
240,2004,19.62
240,2005,20.39
240,2006,20.47
240,2007,21.07
240,2008,21.45
240,2009,20.4
240,2010,21.75
240,2011,20.94
240,2012,20.71
240,2013,21.51
240,2014,21.71
240,2015,22.73
240,2016,22.64
240,2017,23.9
240,2018,23.96
240,2019,23.12
240,2020,23.01
240,2021,24.34
210,1992,23.55
210,1993,24.1
210,1994,24.38
210,1995,23.92
210,1996,24.8
210,1997,29.85
210,1998,25.28
210,1999,25.7
210,2000,27.08
210,2001,26.24
210,2002,26.15
210,2003,26.06
210,2004,26.63
210,2005,29.13
210,2006,28.69
210,2007,29.54
210,2008,28.78
210,2009,27.42
210,2010,29.29
210,2011,29.5
210,2012,30.42
210,2013,30.53
210,2014,30.76
210,2015,32.92
210,2016,32.48
210,2017,31.92
210,2018,31.6
210,2019,32.75
210,2020,31.72
210,2021,33.31
250,1992,20.35
250,1993,20.37
250,1994,20.6
250,1995,20.25
250,1996,21.02
250,1997,22.74
250,1998,21.19
250,1999,21.27
250,2000,21.28
250,2001,21.57
250,2002,21.15
250,2003,21.06
250,2004,21.4
250,2005,22.17
250,2006,22.41
250,2007,23.47
250,2008,22.72
250,2009,22.3
250,2010,23.36
250,2011,23.41
250,2012,22.98
250,2013,23.49
250,2014,23.69
250,2015,24.24
250,2016,24.46
250,2017,24.59
250,2018,24.75
250,2019,24.77
250,2020,25.06
250,2021,25.3
190,1992,23.45
190,1993,28.92
190,1994,24.18
190,1995,24.38
190,1996,25.18
190,1997,25.31
190,1998,24.92
190,1999,25.11
190,2000,27.59
190,2001,25.4
190,2002,24.46
190,2003,25.09
190,2004,24.84
190,2005,25.86
190,2006,27.03
190,2007,27.71
190,2008,28.42
190,2009,26.87
190,2010,28.22
190,2011,28.47
190,2012,28.01
190,2013,29.2
