municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
165,Rækkehus,Jægerhusene 29,2620, Albertslund,2400000,2006-10-27,Alm. Salg,108,22222,4,1968,
165,Rækkehus,Elmehusene 278,2600, Glostrup,2300000,2006-10-24,Alm. Salg,100,23000,4,1968,
165,Ejerlejlighed,Espensstræde 8,2620, Albertslund,2995000,2006-10-23,Alm. Salg,113,26504,3,1922,
165,Ejerlejlighed,"Topperne 22, 2. 21",2620, Albertslund,1332000,2006-10-22,Auktion,97,13732,4,1972,
165,Villa,Skærager 42,2620, Albertslund,3100000,2006-10-21,Alm. Salg,149,20805,5,1966,
165,Villa,Roskildevej 197,2620, Albertslund,2050000,2006-10-21,Alm. Salg,77,26623,2,1938,
165,Ejerlejlighed,"Topperne 4, st. 4",2620, Albertslund,646000,2006-10-18,Fam. Salg,49,13184,2,1971,
165,Villa,Borgager 32,2620, Albertslund,3250000,2006-10-18,Alm. Salg,130,25000,5,1967,
165,Villa,Randager 55,2620, Albertslund,3395000,2006-10-18,Alm. Salg,134,25336,4,1969,
165,Villa,Lodager 58,2620, Albertslund,4150000,2006-10-15,Alm. Salg,241,17220,7,1970,
165,Villa,Rudeland 4,2620, Albertslund,2400000,2006-10-14,Fam. Salg,119,20168,4,1960,
165,Ejerlejlighed,"Topperne 3, 1. 12",2620, Albertslund,1100000,2006-10-12,Alm. Salg,49,22449,2,1972,
165,Rækkehus,Bispehusene 70,2620, Albertslund,2725000,2006-10-10,Alm. Salg,108,25231,4,1974,
165,Rækkehus,Jægerhusene 32,2620, Albertslund,2598000,2006-10-10,Alm. Salg,106,24509,4,1968,
165,Ejerlejlighed,Mölndalsparken 51,2620, Albertslund,1500000,2006-10-10,Alm. Salg,61,24590,2,1986,
165,Rækkehus,Rytterhusene 96,2620, Albertslund,680000,2006-10-08,Fam. Salg,106,6415,5,1968,
