muni_code,year,unemployed
340,2005,1733
340,2006,1452
350,1992,35934
350,1993,39318
350,1994,39446
350,1995,33187
350,1996,28712
350,1997,26075
350,1998,22325
350,1999,19710
350,2000,17755
350,2001,17321
350,2002,16545
350,2003,18147
350,2004,17615
350,2005,15783
350,2006,12307
360,1992,7394
360,1993,8322
360,1994,8526
360,1995,7043
360,1996,6430
360,1997,5724
360,1998,4885
360,1999,4370
360,2000,4146
360,2001,3756
360,2002,3339
360,2003,3800
360,2004,3835
360,2005,3417
360,2006,2609
370,1992,9287
370,1993,10121
370,1994,9872
370,1995,8148
370,1996,6851
370,1997,6223
370,1998,5175
370,1999,4555
370,2000,3844
370,2001,3778
370,2002,3708
370,2003,4426
370,2004,4205
370,2005,3845
370,2006,3235
376,1992,8160
376,1993,8738
376,1994,9132
376,1995,7879
376,1996,6891
376,1997,6176
376,1998,5468
376,1999,4848
376,2000,4470
376,2001,4570
376,2002,4494
376,2003,4397
376,2004,4178
376,2005,3805
376,2006,2804
390,1992,6368
390,1993,6962
390,1994,6695
390,1995,5704
390,1996,4892
390,1997,4668
390,1998,4038
390,1999,3498
390,2000,3038
390,2001,3004
390,2002,2686
390,2003,3082
390,2004,2969
390,2005,2611
390,2006,1944
400,1992,5436
400,1993,6317
400,1994,5973
400,1995,5467
400,1996,5012
400,1997,5146
400,1998,4550
400,1999,4174
400,2000,3788
400,2001,3950
400,2002,3898
400,2003,4398
400,2004,4572
400,2005,3975
400,2006,3199
410,1992,3341
410,1993,3775
410,1994,3374
410,1995,2643
410,1996,2415
410,1997,2173
410,1998,1693
410,1999,1610
410,2000,1602
410,2001,1674
410,2002,1688
410,2003,1974
410,2004,1992
410,2005,1862
410,2006,1340
420,1992,67500
420,1993,74711
420,1994,73637
420,1995,56272
420,1996,45305
420,1997,40968
420,1998,34133
420,1999,34634
420,2000,33007
420,2001,31344
420,2002,30409
420,2003,36935
420,2004,37046
420,2005,32934
420,2006,25534
430,1992,5656
430,1993,6370
430,1994,6010
430,1995,4825
430,1996,4099
430,1997,3655
430,1998,3123
430,1999,3260
430,2000,3214
430,2001,3179
430,2002,2878
430,2003,3307
430,2004,3136
430,2005,2792
430,2006,2243
440,1992,2950
440,1993,3293
440,1994,3048
440,1995,2388
440,1996,2060
440,1997,1982
440,1998,1579
440,1999,1531
440,2000,1627
440,2001,1305
440,2002,1241
440,2003,1553
440,2004,1525
440,2005,1348
440,2006,970
450,1992,3205
450,1993,3745
450,1994,3627
450,1995,2844
450,1996,2501
450,1997,2294
450,1998,2022
450,1999,2104
450,2000,2086
450,2001,2111
450,2002,2244
450,2003,2013
450,2004,2085
450,2005,1890
450,2006,1369
461,1992,27568
461,1993,30310
461,1994,32040
461,1995,22982
461,1996,16926
461,1997,15038
461,1998,12727
461,1999,13454
461,2000,12062
461,2001,10872
461,2002,10152
461,2003,14208
461,2004,14808
461,2005,12703
461,2006,9659
479,1992,8015
479,1993,8746
479,1994,8781
479,1995,7585
479,1996,6308
479,1997,5852
479,1998,5098
479,1999,4730
479,2000,4660
479,2001,4523
479,2002,4369
479,2003,4733
479,2004,4334
479,2005,3750
479,2006,3111
480,1992,3452
480,1993,3757
480,1994,3572
480,1995,2881
480,1996,2595
480,1997,2363
480,1998,1830
480,1999,1856
480,2000,1843
480,2001,1801
480,2002,1691
480,2003,1976
480,2004,1920
480,2005,1825
480,2006,1369
482,1992,2152
482,1993,2304
482,1994,2284
482,1995,2044
482,1996,1603
482,1997,1450
482,1998,1327
482,1999,1357
482,2000,1347
482,2001,1313
482,2002,1347
482,2003,1439
482,2004,1469
482,2005,1474
482,2006,1238
492,1992,690
492,1993,868
492,1994,894
492,1995,763
492,1996,696
492,1997,642
492,1998,522
492,1999,500
492,2000,473
492,2001,480
492,2002,455
492,2003,467
492,2004,456
492,2005,425
492,2006,333
510,1992,8211
510,1993,8888
510,1994,8319
510,1995,6233
510,1996,5264
510,1997,4756
510,1998,3818
510,1999,3998
510,2000,3883
510,2001,4062
510,2002,4154
510,2003,5130
510,2004,4960
510,2005,4207
510,2006,3035
530,1992,3017
530,1993,3444
530,1994,2938
530,1995,2362
530,1996,2035
530,1997,1789
530,1998,1604
530,1999,1623
530,2000,1663
530,2001,1652
530,2002,1539
530,2003,1999
530,2004,1936
530,2005,1724
530,2006,1217
540,1992,8722
540,1993,8967
540,1994,8488
540,1995,5949
540,1996,5291
540,1997,5156
540,1998,3846
540,1999,3948
540,2000,3805
540,2001,3374
540,2002,3613
540,2003,4501
540,2004,4320
540,2005,3447
540,2006,2529
550,1992,28368
550,1993,31099
550,1994,28124
550,1995,21874
550,1996,19423
550,1997,17362
550,1998,14362
550,1999,13611
550,2000,13044
550,2001,13005
550,2002,12515
550,2003,14689
550,2004,14392
550,2005,12892
550,2006,8961
561,1992,14380
561,1993,15756
561,1994,14432
561,1995,11500
561,1996,10425
561,1997,9347
561,1998,7841
561,1999,7316
561,2000,6637
561,2001,6658
561,2002,6007
561,2003,7073
561,2004,6979
561,2005,6174
561,2006,4060
563,1992,316
563,1993,331
563,1994,328
563,1995,290
563,1996,275
563,1997,264
563,1998,214
563,1999,197
563,2000,185
563,2001,202
563,2002,216
563,2003,228
563,2004,206
563,2005,196
563,2006,146
573,1992,4855
573,1993,5347
573,1994,4582
573,1995,3590
573,1996,3149
573,1997,2741
573,1998,2200
573,1999,2038
573,2000,2050
573,2001,2034
573,2002,2131
573,2003,2391
573,2004,2253
573,2005,2012
573,2006,1451
575,1992,4029
575,1993,4453
575,1994,3945
575,1995,2686
575,1996,2393
575,1997,2142
575,1998,1718
575,1999,1596
575,2000,1534
575,2001,1591
575,2002,1587
575,2003,1911
575,2004,1842
575,2005,1718
575,2006,1111
580,1992,6824
580,1993,7499
580,1994,6954
580,1995,5527
580,1996,4877
580,1997,4603
580,1998,3971
580,1999,3624
580,2000,3508
580,2001,3319
580,2002,3327
580,2003,3993
580,2004,4074
580,2005,3654
580,2006,2582
607,1992,5992
607,1993,6512
607,1994,5770
607,1995,4594
607,1996,3842
607,1997,3422
607,1998,2930
607,1999,2748
607,2000,3164
607,2001,3736
607,2002,3123
607,2003,3774
607,2004,3703
607,2005,3119
607,2006,2139
615,1992,10035
615,1993,10819
615,1994,10431
615,1995,8068
615,1996,6986
615,1997,6301
615,1998,5510
615,1999,4846
615,2000,4060
615,2001,4224
615,2002,4275
615,2003,5078
615,2004,5619
615,2005,4653
615,2006,2799
621,1992,10434
621,1993,11655
621,1994,11235
621,1995,8291
621,1996,7265
621,1997,6781
621,1998,5708
621,1999,4761
621,2000,4282
621,2001,4326
621,2002,4447
621,2003,5488
621,2004,5471
621,2005,4726
621,2006,3421
630,1992,11142
630,1993,12453
630,1994,12335
630,1995,10055
630,1996,8347
630,1997,7737
630,1998,7026
630,1999,5779
630,2000,5703
630,2001,5899
630,2002,5672
630,2003,6551
630,2004,6910
630,2005,6141
630,2006,4633
657,1992,6686
657,1993,8025
657,1994,6940
657,1995,5633
657,1996,5537
657,1997,5022
657,1998,4035
657,1999,3444
657,2000,3434
657,2001,3628
657,2002,3590
657,2003,4196
657,2004,4485
657,2005,3961
657,2006,2934
661,1992,5083
661,1993,6100
661,1994,5885
661,1995,4152
661,1996,3441
661,1997,3075
661,1998,2543
661,1999,2382
661,2000,2408
661,2001,2305
661,2002,2313
661,2003,2658
661,2004,2907
661,2005,2477
661,2006,1735
665,1992,2638
665,1993,3048
665,1994,2642
665,1995,2004
665,1996,1718
665,1997,1528
665,1998,1208
665,1999,1072
665,2000,1035
665,2001,1018
665,2002,1022
665,2003,1150
665,2004,1233
665,2005,1121
665,2006,843
671,1992,2649
671,1993,3159
671,1994,2822
671,1995,2106
671,1996,1853
671,1997,1581
671,1998,1401
671,1999,1258
671,2000,1167
671,2001,1204
671,2002,1192
671,2003,1500
671,2004,1526
671,2005,1274
671,2006,866
706,1992,4663
706,1993,4990
706,1994,4757
706,1995,4019
706,1996,3484
706,1997,3270
706,1998,2772
706,1999,2344
706,2000,2445
706,2001,2324
