,muni_code,year,kont_recip_tot
497,183,2008,859
498,183,2009,1074
499,183,2010,1164
500,183,2011,1242
501,183,2012,1272
502,183,2013,1518
503,183,2014,1553
504,183,2015,1440
505,183,2016,1268
506,183,2017,1034
507,183,2018,891
508,183,2019,797
509,183,2020,790
510,183,2021,675
511,183,2022,630
195,185,1994,1136
196,185,1995,1069
197,185,1996,1066
198,185,1997,1072
199,185,1998,1057
200,185,1999,1003
201,185,2000,1012
202,185,2001,963
203,185,2002,841
204,185,2003,854
205,185,2004,878
206,185,2005,889
207,185,2006,875
512,185,2007,1028
513,185,2008,1063
514,185,2009,1237
515,185,2010,1412
516,185,2011,1468
517,185,2012,1478
518,185,2013,1692
519,185,2014,1775
520,185,2015,1781
521,185,2016,1614
522,185,2017,1416
523,185,2018,1184
524,185,2019,1111
525,185,2020,1141
526,185,2021,1011
527,185,2022,960
208,187,1994,225
209,187,1995,212
210,187,1996,187
211,187,1997,178
212,187,1998,205
213,187,1999,186
214,187,2000,180
215,187,2001,160
216,187,2002,154
217,187,2003,158
218,187,2004,139
219,187,2005,152
220,187,2006,128
528,187,2007,106
529,187,2008,147
530,187,2009,213
531,187,2010,263
532,187,2011,276
533,187,2012,315
534,187,2013,419
535,187,2014,445
536,187,2015,421
537,187,2016,376
538,187,2017,298
539,187,2018,249
540,187,2019,230
541,187,2020,238
542,187,2021,219
543,187,2022,225
221,190,1994,1195
222,190,1995,1079
223,190,1996,969
224,190,1997,812
225,190,1998,935
226,190,1999,797
227,190,2000,582
228,190,2001,675
229,190,2002,765
230,190,2003,793
231,190,2004,800
232,190,2005,845
233,190,2006,842
544,190,2007,765
545,190,2008,741
546,190,2009,833
547,190,2010,935
548,190,2011,903
549,190,2012,941
550,190,2013,1089
551,190,2014,1177
552,190,2015,1217
553,190,2016,1128
554,190,2017,918
555,190,2018,713
556,190,2019,630
557,190,2020,601
558,190,2021,510
559,190,2022,529
234,201,1994,410
235,201,1995,435
236,201,1996,391
237,201,1997,374
238,201,1998,374
239,201,1999,415
240,201,2000,307
241,201,2001,318
242,201,2002,265
243,201,2003,287
244,201,2004,294
245,201,2005,256
246,201,2006,255
560,201,2007,223
561,201,2008,229
562,201,2009,278
563,201,2010,308
564,201,2011,330
565,201,2012,375
566,201,2013,427
567,201,2014,451
568,201,2015,526
569,201,2016,498
570,201,2017,461
571,201,2018,354
572,201,2019,316
573,201,2020,287
574,201,2021,262
575,201,2022,288
247,210,1994,1818
248,210,1995,1797
249,210,1996,1628
250,210,1997,1619
251,210,1998,1545
252,210,1999,1273
253,210,2000,1377
254,210,2001,1297
255,210,2002,1229
256,210,2003,1211
257,210,2004,1165
258,210,2005,1176
259,210,2006,1081
576,210,2007,1001
577,210,2008,1055
578,210,2009,1191
579,210,2010,1199
580,210,2011,1154
581,210,2012,1157
582,210,2013,1350
583,210,2014,1459
584,210,2015,1423
585,210,2016,1275
586,210,2017,1107
587,210,2018,883
588,210,2019,799
589,210,2020,746
590,210,2021,670
591,210,2022,636
260,217,1994,3365
261,217,1995,3125
262,217,1996,3029
263,217,1997,2888
264,217,1998,2656
265,217,1999,2323
266,217,2000,2192
267,217,2001,2149
268,217,2002,2334
269,217,2003,2277
270,217,2004,2070
271,217,2005,2047
272,217,2006,1902
592,217,2007,2031
593,217,2008,2133
594,217,2009,2370
595,217,2010,2421
596,217,2011,2349
597,217,2012,2476
598,217,2013,2774
599,217,2014,2902
600,217,2015,2941
601,217,2016,2917
602,217,2017,2600
603,217,2018,2215
604,217,2019,2000
605,217,2020,1857
606,217,2021,1530
607,217,2022,1449
273,219,1994,1469
274,219,1995,1406
275,219,1996,1304
276,219,1997,1254
277,219,1998,1326
278,219,1999,1304
279,219,2000,1405
280,219,2001,1294
281,219,2002,1297
282,219,2003,1229
283,219,2004,1113
284,219,2005,1111
285,219,2006,1135
608,219,2007,1042
609,219,2008,1050
610,219,2009,1292
611,219,2010,1418
612,219,2011,1434
613,219,2012,1489
614,219,2013,1652
615,219,2014,1708
616,219,2015,1715
617,219,2016,1583
618,219,2017,1500
619,219,2018,1355
620,219,2019,1167
621,219,2020,1123
622,219,2021,1020
623,219,2022,1019
286,223,1994,491
287,223,1995,465
288,223,1996,498
289,223,1997,442
290,223,1998,362
291,223,1999,337
292,223,2000,363
293,223,2001,398
294,223,2002,471
295,223,2003,520
296,223,2004,457
297,223,2005,497
298,223,2006,493
624,223,2007,353
625,223,2008,325
626,223,2009,359
627,223,2010,400
628,223,2011,425
629,223,2012,433
630,223,2013,524
631,223,2014,581
632,223,2015,599
633,223,2016,584
634,223,2017,522
635,223,2018,424
