TAL;OMRÅDE;TID;INDHOLD
1 Berørte personer (antal);161 Glostrup;2016 2016;1035
1 Berørte personer (antal);161 Glostrup;2017 2017;925
1 Berørte personer (antal);161 Glostrup;2018 2018;742
1 Berørte personer (antal);161 Glostrup;2019 2019;694
1 Berørte personer (antal);161 Glostrup;2020 2020;695
1 Berørte personer (antal);161 Glostrup;2021 2021;615
1 Berørte personer (antal);161 Glostrup;2022 2022;554
1 Berørte personer (antal);163 Herlev;2007 2007;1023
1 Berørte personer (antal);163 Herlev;2008 2008;982
1 Berørte personer (antal);163 Herlev;2009 2009;1087
1 Berørte personer (antal);163 Herlev;2010 2010;1110
1 Berørte personer (antal);163 Herlev;2011 2011;1128
1 Berørte personer (antal);163 Herlev;2012 2012;1232
1 Berørte personer (antal);163 Herlev;2013 2013;1368
1 Berørte personer (antal);163 Herlev;2014 2014;1352
1 Berørte personer (antal);163 Herlev;2015 2015;1336
1 Berørte personer (antal);163 Herlev;2016 2016;1194
1 Berørte personer (antal);163 Herlev;2017 2017;1060
1 Berørte personer (antal);163 Herlev;2018 2018;870
1 Berørte personer (antal);163 Herlev;2019 2019;742
1 Berørte personer (antal);163 Herlev;2020 2020;696
1 Berørte personer (antal);163 Herlev;2021 2021;606
1 Berørte personer (antal);163 Herlev;2022 2022;579
1 Berørte personer (antal);167 Hvidovre;2007 2007;1537
1 Berørte personer (antal);167 Hvidovre;2008 2008;1570
1 Berørte personer (antal);167 Hvidovre;2009 2009;1862
1 Berørte personer (antal);167 Hvidovre;2010 2010;2094
1 Berørte personer (antal);167 Hvidovre;2011 2011;2120
1 Berørte personer (antal);167 Hvidovre;2012 2012;2232
1 Berørte personer (antal);167 Hvidovre;2013 2013;2422
1 Berørte personer (antal);167 Hvidovre;2014 2014;2396
1 Berørte personer (antal);167 Hvidovre;2015 2015;2378
1 Berørte personer (antal);167 Hvidovre;2016 2016;2273
1 Berørte personer (antal);167 Hvidovre;2017 2017;2088
1 Berørte personer (antal);167 Hvidovre;2018 2018;1779
1 Berørte personer (antal);167 Hvidovre;2019 2019;1707
1 Berørte personer (antal);167 Hvidovre;2020 2020;1596
1 Berørte personer (antal);167 Hvidovre;2021 2021;1394
1 Berørte personer (antal);167 Hvidovre;2022 2022;1342
1 Berørte personer (antal);169 Høje-Taastrup;2007 2007;1741
1 Berørte personer (antal);169 Høje-Taastrup;2008 2008;1675
1 Berørte personer (antal);169 Høje-Taastrup;2009 2009;1889
1 Berørte personer (antal);169 Høje-Taastrup;2010 2010;2029
1 Berørte personer (antal);169 Høje-Taastrup;2011 2011;2124
1 Berørte personer (antal);169 Høje-Taastrup;2012 2012;2294
1 Berørte personer (antal);169 Høje-Taastrup;2013 2013;2796
1 Berørte personer (antal);169 Høje-Taastrup;2014 2014;2828
1 Berørte personer (antal);169 Høje-Taastrup;2015 2015;2750
1 Berørte personer (antal);169 Høje-Taastrup;2016 2016;2479
1 Berørte personer (antal);169 Høje-Taastrup;2017 2017;2103
1 Berørte personer (antal);169 Høje-Taastrup;2018 2018;1735
1 Berørte personer (antal);169 Høje-Taastrup;2019 2019;1532
1 Berørte personer (antal);169 Høje-Taastrup;2020 2020;1550
1 Berørte personer (antal);169 Høje-Taastrup;2021 2021;1444
1 Berørte personer (antal);169 Høje-Taastrup;2022 2022;1398
1 Berørte personer (antal);183 Ishøj;2007 2007;826
1 Berørte personer (antal);183 Ishøj;2008 2008;859
1 Berørte personer (antal);183 Ishøj;2009 2009;1074
1 Berørte personer (antal);183 Ishøj;2010 2010;1164
1 Berørte personer (antal);183 Ishøj;2011 2011;1242
1 Berørte personer (antal);183 Ishøj;2012 2012;1272
1 Berørte personer (antal);183 Ishøj;2013 2013;1518
1 Berørte personer (antal);183 Ishøj;2014 2014;1553
1 Berørte personer (antal);183 Ishøj;2015 2015;1440
1 Berørte personer (antal);183 Ishøj;2016 2016;1268
1 Berørte personer (antal);183 Ishøj;2017 2017;1034
1 Berørte personer (antal);183 Ishøj;2018 2018;891
1 Berørte personer (antal);183 Ishøj;2019 2019;797
1 Berørte personer (antal);183 Ishøj;2020 2020;790
1 Berørte personer (antal);183 Ishøj;2021 2021;675
1 Berørte personer (antal);183 Ishøj;2022 2022;630
1 Berørte personer (antal);173 Lyngby-Taarbæk;2007 2007;934
1 Berørte personer (antal);173 Lyngby-Taarbæk;2008 2008;950
1 Berørte personer (antal);173 Lyngby-Taarbæk;2009 2009;1099
1 Berørte personer (antal);173 Lyngby-Taarbæk;2010 2010;1143
1 Berørte personer (antal);173 Lyngby-Taarbæk;2011 2011;1221
1 Berørte personer (antal);173 Lyngby-Taarbæk;2012 2012;1207
1 Berørte personer (antal);173 Lyngby-Taarbæk;2013 2013;1337
1 Berørte personer (antal);173 Lyngby-Taarbæk;2014 2014;1353
1 Berørte personer (antal);173 Lyngby-Taarbæk;2015 2015;1380
1 Berørte personer (antal);173 Lyngby-Taarbæk;2016 2016;1298
1 Berørte personer (antal);173 Lyngby-Taarbæk;2017 2017;1167
1 Berørte personer (antal);173 Lyngby-Taarbæk;2018 2018;992
1 Berørte personer (antal);173 Lyngby-Taarbæk;2019 2019;940
1 Berørte personer (antal);173 Lyngby-Taarbæk;2020 2020;949
1 Berørte personer (antal);173 Lyngby-Taarbæk;2021 2021;904
1 Berørte personer (antal);173 Lyngby-Taarbæk;2022 2022;947
1 Berørte personer (antal);175 Rødovre;2007 2007;1422
1 Berørte personer (antal);175 Rødovre;2008 2008;1392
1 Berørte personer (antal);175 Rødovre;2009 2009;1610
1 Berørte personer (antal);175 Rødovre;2010 2010;1733
1 Berørte personer (antal);175 Rødovre;2011 2011;1762
1 Berørte personer (antal);175 Rødovre;2012 2012;1896
1 Berørte personer (antal);175 Rødovre;2013 2013;2016
1 Berørte personer (antal);175 Rødovre;2014 2014;1992
1 Berørte personer (antal);175 Rødovre;2015 2015;1923
1 Berørte personer (antal);175 Rødovre;2016 2016;1851
1 Berørte personer (antal);175 Rødovre;2017 2017;1634
1 Berørte personer (antal);175 Rødovre;2018 2018;1398
1 Berørte personer (antal);175 Rødovre;2019 2019;1295
1 Berørte personer (antal);175 Rødovre;2020 2020;1277
1 Berørte personer (antal);175 Rødovre;2021 2021;1099
1 Berørte personer (antal);175 Rødovre;2022 2022;1075
1 Berørte personer (antal);187 Vallensbæk;2007 2007;106
1 Berørte personer (antal);187 Vallensbæk;2008 2008;147
1 Berørte personer (antal);187 Vallensbæk;2009 2009;213
1 Berørte personer (antal);187 Vallensbæk;2010 2010;263
1 Berørte personer (antal);187 Vallensbæk;2011 2011;276
1 Berørte personer (antal);187 Vallensbæk;2012 2012;315
1 Berørte personer (antal);187 Vallensbæk;2013 2013;419
1 Berørte personer (antal);187 Vallensbæk;2014 2014;445
1 Berørte personer (antal);187 Vallensbæk;2015 2015;421
1 Berørte personer (antal);187 Vallensbæk;2016 2016;376
1 Berørte personer (antal);187 Vallensbæk;2017 2017;298
1 Berørte personer (antal);187 Vallensbæk;2018 2018;249
1 Berørte personer (antal);187 Vallensbæk;2019 2019;230
1 Berørte personer (antal);187 Vallensbæk;2020 2020;238
1 Berørte personer (antal);187 Vallensbæk;2021 2021;219
1 Berørte personer (antal);187 Vallensbæk;2022 2022;225
1 Berørte personer (antal);03 Landsdel Nordsjælland;2007 2007;8987
1 Berørte personer (antal);03 Landsdel Nordsjælland;2008 2008;9166
1 Berørte personer (antal);03 Landsdel Nordsjælland;2009 2009;10878
1 Berørte personer (antal);03 Landsdel Nordsjælland;2010 2010;11882
1 Berørte personer (antal);03 Landsdel Nordsjælland;2011 2011;12026
1 Berørte personer (antal);03 Landsdel Nordsjælland;2012 2012;12497
1 Berørte personer (antal);03 Landsdel Nordsjælland;2013 2013;14326
1 Berørte personer (antal);03 Landsdel Nordsjælland;2014 2014;15003
