,Parameter,Value,muni_code
310,classifier__max_iter,2000.0,217
311,preprocessor__num__poly__degree,2.0,217
312,classifier__alpha,0.01519911082952933,210
313,classifier__l1_ratio,0.8,210
314,classifier__max_iter,2000.0,210
315,preprocessor__num__poly__degree,2.0,210
316,classifier__alpha,0.0001,201
317,classifier__l1_ratio,0.0,201
318,classifier__max_iter,2000.0,201
319,preprocessor__num__poly__degree,2.0,201
320,classifier__alpha,0.01519911082952933,190
321,classifier__l1_ratio,0.4,190
322,classifier__max_iter,2000.0,190
323,preprocessor__num__poly__degree,2.0,190
324,classifier__alpha,0.0001,187
325,classifier__l1_ratio,0.9,187
326,classifier__max_iter,2000.0,187
327,preprocessor__num__poly__degree,3.0,187
328,classifier__alpha,0.08111308307896872,185
329,classifier__l1_ratio,0.0,185
330,classifier__max_iter,2000.0,185
331,preprocessor__num__poly__degree,2.0,185
332,classifier__alpha,2.310129700083158,183
333,classifier__l1_ratio,0.0,183
334,classifier__max_iter,2000.0,183
335,preprocessor__num__poly__degree,3.0,183
336,classifier__alpha,0.01519911082952933,175
337,classifier__l1_ratio,0.0,175
338,classifier__max_iter,2000.0,175
339,preprocessor__num__poly__degree,2.0,175
340,classifier__alpha,0.0001,173
341,classifier__l1_ratio,0.0,173
342,classifier__max_iter,2000.0,173
343,preprocessor__num__poly__degree,2.0,173
344,classifier__alpha,0.01519911082952933,169
345,classifier__l1_ratio,1.0,169
346,classifier__max_iter,2000.0,169
347,preprocessor__num__poly__degree,1.0,169
348,classifier__alpha,0.01519911082952933,167
349,classifier__l1_ratio,0.1,167
350,classifier__max_iter,2000.0,167
351,preprocessor__num__poly__degree,3.0,167
352,classifier__alpha,0.01519911082952933,165
353,classifier__l1_ratio,0.5,165
354,classifier__max_iter,2000.0,165
355,preprocessor__num__poly__degree,1.0,165
356,classifier__alpha,0.01519911082952933,163
357,classifier__l1_ratio,0.0,163
358,classifier__max_iter,2000.0,163
359,preprocessor__num__poly__degree,2.0,163
360,classifier__alpha,0.01519911082952933,161
361,classifier__l1_ratio,0.1,161
362,classifier__max_iter,2000.0,161
363,preprocessor__num__poly__degree,2.0,161
364,classifier__alpha,0.002848035868435802,159
365,classifier__l1_ratio,1.0,159
366,classifier__max_iter,2000.0,159
367,preprocessor__num__poly__degree,1.0,159
368,classifier__alpha,0.002848035868435802,157
369,classifier__l1_ratio,0.1,157
370,classifier__max_iter,2000.0,157
371,preprocessor__num__poly__degree,2.0,157
372,classifier__alpha,0.08111308307896872,155
373,classifier__l1_ratio,0.0,155
374,classifier__max_iter,2000.0,155
375,preprocessor__num__poly__degree,3.0,155
376,classifier__alpha,0.08111308307896872,153
377,classifier__l1_ratio,0.0,153
378,classifier__max_iter,2000.0,153
379,preprocessor__num__poly__degree,2.0,153
380,classifier__alpha,0.01519911082952933,151
381,classifier__l1_ratio,0.9,151
382,classifier__max_iter,2000.0,151
383,preprocessor__num__poly__degree,3.0,151
384,classifier__alpha,0.01519911082952933,147
385,classifier__l1_ratio,0.4,147
386,classifier__max_iter,2000.0,147
387,preprocessor__num__poly__degree,2.0,147
388,classifier__alpha,0.08111308307896872,101
389,classifier__l1_ratio,0.0,101
390,classifier__max_iter,2000.0,101
391,preprocessor__num__poly__degree,2.0,101
